"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"2494","Neoleptoneta microps","Spider, Government Canyon Bat Cave","Invertebrate","Arthropod","FWS Region 2: Southwest","TX",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2496","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2497","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""Known only from a few sedge wetlands in close proximity. Habitat apparently open seepage areas dominated with Carex."" ","Natureserve","Hydrology","Yes"
"2498","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","""Habitats are dynamic and the essential processes that maintain them, mainly beavers and fires, are likely to be lethal to any individuals present in the affected area."" ","Natureserve","Disturbance","Yes"
"2499","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","This subspecies is known only from one military base (Ft. Bragg).","Natureserve","Isolation","Yes"
"2500","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2501","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2502","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2503","Neonympha mitchellii francisci","Butterfly, Saint Francis' satyr","Invertebrate","Arthropod","FWS Region 4: Southeast","NC",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2505","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2506","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Many subpopulations are isolated in calcareous sedge wetland complexes that are vulnerable to drying out in ""bad years.""","Natureserve","Hydrology","Yes"
"2507","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"2508","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species is not a strong flyer and is known to be one of the most geographically restricted eastern butterfly.  Habitat (calcareous wetlands) is also patchy.","Natureserve and http://www.fws.gov/midwest/endangered/insects/pdf/mitchell-satyr.pdf","Isolation","Yes"
"2509","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Invasion from exotic weeds threatens necessary fen habitats.","http://www.fws.gov/midwest/endangered/insects/pdf/mitchell-satyr.pdf","Injurious species","Yes"
"2510","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2511","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","""Adults fly for about two weeks out of the year, at some time between about June 25 and July 20.  Larvae occur from about the end of July well into the following June."" Potential for mismatch with food sources, which ""are not well documented"" but probably include Carex.","Natureserve","Phenology","Yes"
"2512","Neonympha mitchellii mitchellii","Butterfly, Mitchell's satyr","Invertebrate","Arthropod","FWS Region 3: Midwest","AL, IN, MI, MS, OH, VA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2514","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2515","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2516","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Hardwood hammocks are a climax community and are sensitive to disturbance.  Wood rat needs intact habitat.  Also, forests with disturbance are more susceptible to drastic damage in hurricanes.","FWS multi-species recovery plan for Florida: http://ecos.fws.gov/docs/recovery_plan/sfl_msrp/SFL_MSRP_species.pdf","Disturbance","Yes"
"2517","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Severely restricted range to northern Key Largo.  Separated from wood rats in other parts of Florida by the southern third of the Florida peninsula.","FWS multi-species recovery plan for Florida: http://ecos.fws.gov/docs/recovery_plan/sfl_msrp/SFL_MSRP_species.pdf","Isolation","Yes"
"2518","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2519","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2520","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2521","Neotoma floridana smalli","Woodrat, Key Largo","Vertebrate","Mammal","FWS Region 4: Southeast","FL",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2523","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2524","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""Highly vulnerable to habitat alterations such as those resulting from fire, drought, and livestock grazing.""  ""With a minimum daily requirement for water of 10.2% of their body mass (Carpenter 1966), dusky-footed woodrats tend to be restricted to habitats that are in close proximity to a year-round water supply.""","Natureserve and http://www.dfg.ca.gov/wildlife/nongame/ssc/docs/mammal/species/37.pdf","Hydrology","Yes"
"2525","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","""Highly vulnerable to habitat alterations such as those resulting from fire, drought, and livestock grazing."" ","Natureserve","Disturbance","Yes"
"2526","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""Occurs in one location in riparian habitat in the San Joaquin Valley, California.""","Natureserve","Isolation","Yes"
"2527","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2528","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2529","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2530","Neotoma fuscipes riparia","Woodrat, riparian","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2532","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2533","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""[T]he three tree snails in this rule may be affected by habitat loss or degradation associated with droughts, which are not uncommon in the Hawaiian Islands.""","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-05-28/pdf/2013-12105.pdf)","Hydrology","Yes"
"2534","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Threatened by hurricanes: ""High winds and intense rains from hurricanes can dislodge snails from the leaves and branches of their host plants and deposit them on the forest floor where they may be crushed by falling vegetation or exposed to predation by
nonnative rats and snails.""","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-05-28/pdf/2013-12105.pdf)","Disturbance","Yes"
"2535","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Yes, narrow island endemic","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-05-28/pdf/2013-12105.pdf)","Isolation","Yes"
"2536","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Non-native plants present a serious and ongoing threat.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-05-28/pdf/2013-12105.pdf)","Injurious species","Yes"
"2537","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2538","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2539","Newcombia cumingi","Snail, Newcomb's tree","Invertebrate","Mollusk","FWS Region 1: Pacific","HI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Has one host plant, Metrosideros polymorpha (ohia).","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2013-05-28/pdf/2013-12105.pdf)","Obligate relationships","Yes"
"2541","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2542","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2543","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Fire suppression has facilitated the encroachment of red cedar - reducing the beetle's grassland habitat.  Also, weather extremes, such as droughts, fires, hurricanes, and ice storms may effect the carrying capacity of different populations.","five-year review (http://ecos.fws.gov/docs/five_year_review/doc1968.pdf)","Disturbance","Yes"
"2544","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","","","Isolation","No"
"2545","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","""The red-imported fire ant has become a formidable competitor for carrion and a potential source of mortality for these beetles when they co-occur at a food source.""","five-year review (http://ecos.fws.gov/docs/five_year_review/doc1968.pdf)","Injurious species","Yes"
"2546","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2547","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2548","Nicrophorus americanus","Beetle, American burying","Invertebrate","Arthropod","FWS Region 2: Southwest","AR, KS, MA, MO, NE, OH, OK, RI, SD, TX",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2550","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2551","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""Populations within the [Little South Fork and Paint Rock River] are vulnerable to stochastic events; a single toxic chemical spill or an extremely dry summer could have devastating effects on population numbers in both systems and could threaten the long-term viability of the species.""","five-year review (http://ecos.fws.gov/docs/five_year_review/doc4374.pdf)","Hydrology","Yes"
"2552","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"2553","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","The two extant populations occur in the Paint Rock River, Alabama, and the Little South Fork of the Cumberland River, Kentucky; extirpated at the other two historical localities; populations have been fragmented by habitat alteration (primarily impoundments)","Natureserve","Isolation","Yes"
"2554","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2555","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2556","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2557","Notropis albizonatus","Shiner, palezone","Vertebrate","Fish","FWS Region 4: Southeast","AL, KY ",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2559","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2560","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Use shallow streams, vulnerable to drought, impoundment and diversion.","Natureserve","Hydrology","Yes"
"2561","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","May spawn during flood events, not certain for this species","Natureserve","Disturbance","Unknown"
"2562","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Center portion of range is cut off by dams.","Natureserve","Isolation","Yes"
"2563","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Tamarisk","Natureserve","Injurious species","Yes"
"2564","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2565","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2566","Notropis buccula","Shiner, smalleye","Vertebrate","Fish","FWS Region 2: Southwest","TX",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Insectivore","Natureserve","Obligate relationships","No"
"2568","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2569","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"2570","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"2571","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Range includes two occurances: the Cahaba River and Locust Fork of Black Warrior River, Alabama.","Natureserve","Isolation","Yes"
"2572","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2573","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species prefers ""relatively clear, well-oxygenated water.""","recovery plan (http://ecos.fws.gov/docs/recovery_plan/920423.pdf)","Chemistry","Yes"
"2574","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2575","Notropis cahabae","Shiner, Cahaba","Vertebrate","Fish","FWS Region 4: Southeast","AL",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"2577","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2578","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""Threats include deterioration of water quality due to toxic chemical pollution, changes in stream flow, channel modification, siltation, and impoundments (North Carolina Natural Heritage Program).""","Natureserve","Hydrology","Yes"
"2579","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Species is known to be sensitive to siltation of its habitat usually associated with agricultural erosion.  Increasingly frequent/severe storm events may exacerbate this problem.","recovery plan (http://ecos.fws.gov/docs/recovery_plan/060313.pdf)","Disturbance","Yes"
"2580","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Entire range lies in North Carolina in one drainage basin only 30 miles in length.","Natureserve","Isolation","Yes"
"2581","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"2582","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"2583","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"2584","Notropis mekistocholas","Shiner, Cape Fear","Vertebrate","Fish","FWS Region 4: Southeast","NC",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Species ""has been observed inhabiting slow pools, riffles, and slow runs often associated with water willow (Justicia sp.) beds."" Diet is flexible, however.","recovery plan (http://ecos.fws.gov/docs/recovery_plan/060313.pdf)","Obligate relationships","Yes"
"2586","Notropis oxyrhynchus","Shiner, sharpnose","Vertebrate","Fish","FWS Region 2: Southwest","TX",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"2587","Notropis oxyrhynchus","Shiner, sharpnose","Vertebrate","Fish","FWS Region 2: Southwest","TX",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Sensitve to changes in flow: ""The primary threat to the sharpnose shiner is habitat loss and modification due to current and future reservoir development.""","Natureserve","Hydrology","Yes"
"2588","Notropis oxyrhynchus","Shiner, sharpnose","Vertebrate","Fish","FWS Region 2: Southwest","TX",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Spawns during flood events; sedimentation is also a threat.","Natureserve","Disturbance","Yes"
"2589","Notropis oxyrhynchus","Shiner, sharpnose","Vertebrate","Fish","FWS Region 2: Southwest","TX",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Extant populations less separated than smalleye shiner; ""Range in the Brazos River and its major tributaries is approximately 1,616 river kilometers (USFWS 2011).""","Natureserve","Isolation","No"
"2590","Notropis oxyrhynchus","Shiner, sharpnose","Vertebrate","Fish","FWS Region 2: Southwest","TX",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Tamarisk","Natureserve","Injurious species","Yes"
